title,id,price,condition,availability,channel,feed label,language,all clicks,brand,description,gtin,image link,link,rating average,rating count,shipping(country),shipping weight,update type
Strike First 5lb Heavy Duty Vehicle Bracket - HDVB-1,hdvb-1-17266,85.00 CAD,new,in stock,Online,CA,en,0,Strike First,"Designed for Strike First 5lb Dry Chemical Extinguishers
   4' – 4 3/4"" - Diameter Fire Extinguisher
   USCG Approved
   Stainless steel pull pin with tether
   Automotive Grade powder coat finish",,https://teslafiresystems.com/wp-content/uploads/2025/12/Strike-First-HDVB.png,https://teslafiresystems.com/product/strike-first-5lb-heavy-duty-vehicle-bracket-hdvb-1/,,,CA,10 lb,merge
Amerex Vehicle Bracket - 5lb ABC (818),5-818-281,25.00 CAD,new,in stock,Online,CA,en,0,Amerex,"The Amerex 818 5lb Fire Extinguisher Vehicle Bracket is designed to securely mount a 5lb fire extinguisher in vehicles for easy access in emergencies. Made for durability, it ensures the extinguisher stays safely in place while on the move.",,https://teslafiresystems.com/wp-content/uploads/2025/01/17-5lb-Fire-Extinguisher-Vehicle-Bracket-Amerex-818.jpg,https://teslafiresystems.com/product/5lb-fire-extinguisher-vehicle-bracket-amerex-818/,,,CA,1 lb,merge
5lb Fire Extinguisher - Amerex 322 Carbon Dioxide,322x,265.00 CAD,new,in stock,Online,CA,en,0,Amerex,"All Fire extinguishers come with a 6 Year Manufacturer's Warranty.
   Certification Tag is available and is an extra fee.

The Carbon Dioxide extinguisher is an effective solution for fighting Class B and Class C fires, including flammable liquids and electrically non-conductive fires. It releases CO2 as a white cloud of ""snow,"" suffocating the fire by displacing oxygen. This clean, odorless gas leaves no residue, making it ideal for use in sensitive environments like automobiles, computer rooms, and areas with electrical equipment.",850026795202,https://teslafiresystems.com/wp-content/uploads/2025/01/9.-5lb-Fire-Extinguisher-Amerex-322-Carbon-Dioxide.jpg,https://teslafiresystems.com/product/5lb-fire-extinguisher-amerex-322-carbon-dioxide/,,,CA,14 lb,
Mircom FHS-400-RR - Wall Mount LED Horn/Strobe (Red),fhs-400-rr,120.00 CAD,new,in stock,Online,CA,en,0,,"Utilizing advanced LED technology, the FHS-400 Horn/Strobes provide a lower current draw which allows for more devices on a NAC circuit while reducing the number of external power supplies required.",808221191985,https://teslafiresystems.com/wp-content/uploads/2025/03/FHS400RR.png,https://teslafiresystems.com/product/mircom-fhs-400-rr-wall-mount-led-horn-strobe-red/,,,CA,1 lb,
Strike First 5lb ABC Medium Duty Fire Extinguisher Bracket - UP5MD,up5md-312,26.90 CAD,new,in stock,Online,CA,en,0,Strike First,"The Strike First 5lb ABC Medium Duty Fire Extinguisher Bracket - UP5HD is a durable and reliable mounting solution for 5lb ABC fire extinguishers. Built for medium-duty applications, it ensures secure placement and easy access during emergencies, making it ideal for residential, commercial, and light industrial use.",,https://teslafiresystems.com/wp-content/uploads/2025/01/31.-Strike-First-5lb-ABC-Medium-Duty-Fire-Extinguisher-Bracket-UP5HD.jpg,https://teslafiresystems.com/product/strike-first-5lb-abc-medium-duty-fire-extinguisher-bracket-up5hd/,,,CA,0.5 lb,
Safe Signal WFDTN Waterflow Detector,wfdtn,250.00 CAD,new,in stock,Online,CA,en,0,,"The Safe signal WFDTN Waterflow Detector is designed to monitor water flow in fire sprinkler systems, ensuring reliable fire safety. I",,https://teslafiresystems.com/wp-content/uploads/2025/02/System-Sensor-WFDTN-Waterflow-Detector.jpg,https://teslafiresystems.com/product/safe-signal-wfdtn-waterflow-detector/,,,CA,1 lb,
Aluminum 8X12 Double Sided FIRE Extinguisher Sign,awm114,35.00 CAD,new,in stock,Online,CA,en,0,Tesla Fire Systems,"Clearly mark the location of fire extinguishers with this durable, double-sided sign from Tesla Fire Products.",,https://teslafiresystems.com/wp-content/uploads/2025/02/Double-Sided-Fire-Extinguisher-Sign.png,https://teslafiresystems.com/product/aluminum-8x12-double-sided-fire-extinguisher-sign/,,,CA,0.5 lb,
Amerex Wall Bracket - 2.5lb/5lb ABC,01521-p001-1065,10.00 CAD,new,in stock,Online,CA,en,0,,Securely mount your 2.5-5 lb fire extinguisher with this fork style wall bracket. Compatible with Amerex models with a fork style neck.,,https://teslafiresystems.com/wp-content/uploads/2025/02/Fork-Style-Wall-Mount-Bracket-%E2%80%93-Fits-2.5-5-lb-Amerex-fire-extinguishers-with-fork-style-neck.-Durable-and-easy-to-install.jpg,https://teslafiresystems.com/product/fork-style-wall-mount-bracket-for-2-5-5-lb-fire-extinguisher/,,,CA,1 lb,merge
Remote Trouble Indicator RTI-1,rti-1,175.00 CAD,new,in stock,Online,CA,en,0,,Ensure safety with the Mircom RTI-1 Remote Trouble Indicator.,778346004593,https://teslafiresystems.com/wp-content/uploads/2025/02/Remote-Trouble-Indicator-RTI-1.jpg,https://teslafiresystems.com/product/remote-trouble-indicator-rti-1/,,,CA,0.5 lb,
Emergency Exit – Unlocked by Fire Alarm | Vinyl Adhesive Safety Label,17717,6.00 CAD,new,in stock,Online,CA,en,0,,"High-visibility vinyl adhesive safety label stating “EMERGENCY EXIT – UNLOCKED BY FIRE ALARM.” Designed for use on emergency exits with fail-safe electric locking systems. Durable, easy to apply, and suitable for commercial and industrial environments.Key Features: Bold, high-contrast red on white safety messagePressure-sensitive vinyl adhesive – peel & stickIndoor-rated, durable printed finishClean, professional appearanceNo hardware or fasteners required",,https://teslafiresystems.com/wp-content/uploads/2026/01/Emergency-Exit-Unlocked-by-Fire-Alarm.png,https://teslafiresystems.com/product/emergency-exit-unlocked-by-fire-alarm-vinyl-adhesive-safety-label/,,,CA,0.5 lb,
