id,title,shipping_weight
322x,5lb Fire Extinguisher - Amerex 322 Carbon Dioxide,14 lb
fhs-400-rr,Mircom FHS-400-RR - Wall Mount LED Horn/Strobe (Red),1 lb
up5md-312,Strike First 5lb ABC Medium Duty Fire Extinguisher Bracket - UP5MD,0.5 lb
wfdtn,Safe Signal WFDTN Waterflow Detector,1 lb
awm114,Aluminum 8X12 Double Sided FIRE Extinguisher Sign,0.5 lb
rti-1,Remote Trouble Indicator RTI-1,0.5 lb
17717,Emergency Exit – Unlocked by Fire Alarm | Vinyl Adhesive Safety Label,0.5 lb
sti-9641,Emergency Light Guard,1 lb
715,Amerex 715 Z-Series High Performance 30lb ABC Extinguisher,58 lb
ca27vb,ANSUL CLEANGUARD+ 27.75 lb Clean Agent Fire Extinguisher – 20-B:C – Model CA27VB,40 lb
tsfsh-6,Sprinkler Head Cabinet - 6 Heads,5 lb
b394ts,Amerex B394TS Halotron I 5.5 lb | FAA & USCG Approved,10 lb
sm120x,Kidde SM120X - Smoke Alarm Relay,0.5 lb
18866,Gunnebo Fire Department Key Box - Keyed for Toronto,2 lb
mp-300,Microm MP-300 EOL Resistor Plate- White 3.9K 1/2 WATT,0.5 lb
b456x,10 lb Fire Extinguisher - Amerex B456 ABC Multi-Purpose,18 lb
b500tx,5 lb Fire Extinguisher - Amerex B500TX ABC Multi-Purpose / Wrap Around Bracket,9.25 lb
sf6lk,Strike First SF6LK I 6L I UL/ULC Approved I Kitchen Use,22 lb
b402x,5lb Fire Extinguisher - Amerex B402X ABC Multi-Purpose,9.5 lb
p4010acledscoca,Kidde 120V 3-in-1 LED Strobe and 10-Year Talking Smoke & CO Alarm (P4010ACLEDSCOCA),1 lb
t-sdt,Smoke Check - Smoke Detector Tester,1 lb
sf-310-3,STRIKE FIRST SF-ABC310 | 5lb ABC Multi-Purpose Fire Extinguisher w/ Wall Bracket (3-Pack),8 lb
fn15,"Polycarbonate Fire Hose Fog Nozzle, 75 gpm, 1-1/2"" NPSH",0.5 lb
sti-9742,Exit Light Guard,1 lb
-481,Edwards Pullstation - 24VDC,0.5 lb
tflb-298a-439,"Fire Equipment Log Book for Fire Alarm Systems, Emergency Lighting, Fire Extinguishers & Emergency Generators",0.5 lb
mh-25r-1386,Mircom MH-25R - Mini Horn (Red),0.5 lb
rlss-12120,Emergency Light Battery 12V12AH,6 lb
376,1lb Fire Extinguisher - Amerex 376 BC Purple K with Vehicle Bracket,2.25 lb
a109,"Aluminum Fire Extinguisher Sign - (4"" x 12"")",0.5 lb
sf-110st,Strike First SF110ST | Compact 2.5lb ABC I UL/ULC & USCG Approved,4.5 lb
5brk-1054,5Lb Universal Quick Release Vehicle Bracket,0.5 lb
a411,20 lb Fire Extinguisher - Amerex A411 ABC Multi-Purpose,38 lb
fs400-rr,Mircom FS-400-RR - Wall Mount Strobe (Red),0.5 lb
psp1a,System Sensor PSP1 SYS Supervisory / Tamper Switch,1 lb
c-999-1689,Fire Extinguisher Cabinet - 10lb Surface Mounted (C-999),5 lb
996,"Fully Assembled 100' x 1-1/2"" Fire Hose & Rack",22 lb
4-1-4-807-285,Amerex Heavy Duty Vehicle Bracket – 4 1/4′′ Cylinder (807),6 lb
459,"Mircom FA-106R: Six Zone Fire Alarm Unit, Red Door",7 lb
ms-401-479,Mircom MS-401 - Single Stage Pull Station,0.5 lb
fs-400-ww,Mircom FS-400-WW - Wall Mount Strobe (White),0.5 lb
21032772,Kidde DETECT - Battery Operated Photoelectric Smoke & CO w/10 Year Sealed Battery & Voice Alerts (30CUD10-VCA),1 lb
75000,Fire Alarm Circuit Breaker Lock Off,0.25 lb
t-erhc100,Vinyl Cover for 100' Fire Hose Assembled on a Swing Rack,0.25 lb
15parap-75cb,"1-1/2"" x 75' Single Jacket Fire Hose - Designed to be Clipped on a Swing Rack",7 lb
ca03vb,ANSUL CLEANGUARD+ 3.5 lb Clean Agent Fire Extinguisher – 2-B:C – Model CA03VB,6.5 lb
775701155,"Sprinkler Head 1/2""",0.2 lb
c-100-290,Fire Extinguisher Cabinet - 5lb Surface Mounted (C-100),8 lb
mh-s25wa-388,Mircom MH-S25WA - Sileanceable Mini Horn (White),0.5 lb
sl-e6-36,Combination Exit LED Sign / Emergency Lighting,2 lb
468193-426,Kidde 2 Storey Escape Ladder,6 lb
bl-6b-24v-6-467,"Mircom BL-6B - 24V 6"" Fire Alarm Bell",1 lb
b570,30 lb Model B570 Class D Fire Extinguisher,55 lb
sl-rm-12-36,Running Man Combo Exit Emergency Light Unit 12V 36W,2 lb
c2w-ba-460,Mircom C2W-BA Smoke Detector 12/24 VDC,0.5 lb
b386tx,5 lb Fire Extinguisher - Amerex B386TX Halotron Class BC,9 lb
k-270-a-dpo-483,Edwards Pullstation - 120VAC,0.5 lb
sti1100,Audible Pull Station Cover - STI1100,1 lb
b402txc,5lb Fire Extinguisher - Amerex B402TXC ABC Multi-Purpose - Chrome,9.25 lb
spg,Sprinkler Guard,0.2 lb
nv-6-36,Emergency Lighting Unit 36 Watt Output,7 lb
fb64pc-1072,Fiber Glass Fire Blanket (1m x 1m),0.1 lb
470,Mircom MH-25W - Mini Horn (White),0.2 lb
fh-400-rr-1397,Mircom FH-400-RR - Wall/Ceiling Mount Horn (Red),0.5 lb
el-7030a5,Single LED Emergency Light Remote Head - 6-24V5W,0.25 lb
b417txc,2.5lb Chrome Fire Extinguisher - Amerex B417TXC ABC Multi-Purpose,5.5 lb
rlss-b6120,Emergency Light Battery 6V12AH,4 lb
21031559,Kidde DETECT - 120V Photoelectric Smoke Alarm w/ 10 Year Backup Battery (20SA10-CA),0.5 lb
5-809-288,"Amerex Heavy Duty Vehicle Bracket - 5"" Cylinder (809)",7 lb
nlrp109,"Aluminum Fire Extinguisher Sign - (4"" x 18"")",0.5 lb
sf-abc110st-2,Strike First SF-ABC110ST | 2.5lb ABC Multi-Purpose Fire Extinguisher w/Vehicle Bracket (2-Pack),9 lb
b500x,5 lb Fire Extinguisher - Amerex B500 ABC Multi-Purpose w/ Wall Bracket,9.25 lb
dst1_5,System Sensor DST 1.5-1.5' Duct Detector Sampling Tube,0.2 lb
rd1-437,First Alert Radon Test Kit,0.1 lb
tfs15ind-50-19253,"Single Jacket Reel Hose (1 1/2"" x 50')",6 lb
2s30,"2 Stage Alarm Pull Station Label - ""do Not Use Elevator""",0.1 lb
nl109,"Vinyl Fire Extinguisher Sign - Peel & Stick (4"" x 12"")",0.1 lb
994,"Fully Assembled 75' x 1-1/2"" Fire Hose & Rack",18 lb
fh-400-ww-465,Mircom FH-400-WW - Wall/Ceiling Mount Horn (White),0.2 lb
12933-1740,"Amerex Heavy Duty Vehicle Bracket – 7"" Cylinder (810)",6 lb
wfd60n,"Safe Signal WFD60N 6"" Waterflow Detector",1 lb
12v5ah-1733,Fire Alarm Control Panel Battery - 12V5AH,5 lb
433,Pull Station Cover w/ Breaker Bar,1 lb
hr-100,"Swing Rack for 50', 75' & 100' x 1-1/2"" Single Jacket Lined Fire Hose",12 lb
cl-r2-rl,Double LED Emergency Light Remote Head - 6-24V5W,1 lb
ec-111-292,Fire Extinguisher Cabinet - 5lb Semi-Recessed,9 lb
468094-428,Kidde 3 Storey Escape Ladder,12 lb
330x,10lb Fire Extinguisher - Amerex 330 Carbon Dioxide,28.5 lb
rq-4jdk-3uex,Strike First SF1020 | 20lb ABC | UL/ULC & USCG Approved | Industrial,38 lb
ve2-rm-sp-l-u-olr-m,Running Man LED Sign,1 lb
rlss-b650,Emergency Light Battery 6V5AH,5 lb
d4120_dst3,System Sensor – D4120 4-Wire Photoelectric Duct Smoke Detector and 3′ Sampling Tube,3.5 lb
s10,"Single Stage Alarm Pull Station Label - ""do Not Use Elevator""",0.1 lb
b479tx,Amerex B479T - 5lb Purple K | Class B C Fire Extinguisher,9.5 lb
sf340-vb,Strike First SF340 I 5lb 3A40B:C I UL/ULC & USCG Approved I Mixed Use w/ Vehicle Bracket,9.5 lb
ru65b,Sprinkler Head Upright 155 Degree Celsius,0.1 lb
21032773,Kidde DETECT - 120V Photoelectric Smoke + Carbon Monoxide Alarm w/AA Backup Battery (30CUAR-VCA) - Batteries Included,0.5 lb
c260x,6 Litre Fire Extinguisher - Amerex C260X Type K Wet Chemical,16 lb
sf680,Strike First SF680 I 10lb ABC I UL/ULC & USCG Approved I Multi-Purpose,17 lb
6l-k-275,Amerex Wall Bracket - 6L K Class,0.1 lb
21032771,Kidde DETECT - Combination Smoke & Carbon Monoxide Alarm | Photoelectric Sensor | AA Battery Operated | 30CUDR-CA,0.5 lb
wfd40n,"Safe Signal WFD40N 4"" waterflow detector",2 lb
5601a,System Sensor 5601A Heat Detector Fixed Temperature & Rate Of Rise,0.5 lb
tfspb-ss,Stainless Steel Fire Safety Plan Box,6 lb
2_5-817-283,Amerex Vehicle Bracket - 2.5lb ABC (817),0.1 lb
